ticker,byma,nombre,mercado,ratio,tipo,rankea
ERJ,ERJ,Embraer,NYSE,1:1,accion,1
ESGU,ESGU,iShares ESG MSCI USA,NASDAQ,30:1,etf,1
ETHA,ETHA,iShares Ethereum,NASDAQ,5:1,etf,1
ETSY,ETSY,Etsy,NASDAQ,16:1,accion,1
EWJ,EWJ,iShares MSCI Japan,NYSE Arca,14:1,etf,1
EWY,EWY,iShares MSCI South Korea,NYSE ARCA,50:1,etf,1
EWZ,EWZ,iShares MSCI Brazil,NYSE Arca,2:1,etf,1
F,F,Ford,NYSE,1:1,accion,1
FCX,FCX,Freeport-McMoRan,NYSE,3:1,accion,1
FDX,FDX,FedEx,NYSE,10:1,accion,1
FI,FISV,Fiserv,NASDAQ,11:1,accion,1
FMX,FMX,Femsa,NYSE,6:1,accion,1
FSLR,FSLR,First Solar,NASDAQ,18:1,accion,1
FXI,FXI,iShares China Large-Cap,NYSE,5:1,etf,1
GDX,GDX,VanEck Gold Miners,NYSE,10:1,etf,1
GE,GE,General Electric,NYSE,8:1,accion,1
GFI,GFI,Gold Fields,NYSE,1:1,accion,1
GGB,GGB,Gerdau,NYSE,1:4,accion,1
GILD,GILD,Gilead,NASDAQ,4:1,accion,1
GLD,GLD,SPDR Gold Trust,NYSE,50:1,etf,1
GLNG,GLNG,Golar LNG,NASDAQ,10:1,accion,1
GLOB,GLOB,Globant,NYSE,18:1,accion,1
GLW,GLW,Corning,NYSE,4:1,accion,1
GM,GM,General Motors,NYSE,6:1,accion,1
GOOGL,GOOGL,Alphabet,NASDAQ,58:1,accion,1
GPRK,GPRK,GeoPark,NYSE,1:1,accion,1
GRMN,GRMN,Garmin,NASDAQ,3:1,accion,1
GS,GS,Goldman Sachs,NYSE,13:1,accion,1
GSK,GSK,GSK,NYSE,4:1,accion,1
HAL,HAL,Halliburton,NYSE,2:1,accion,1
HD,HD,Home Depot,NYSE,32:1,accion,1
HDB,HDB,HDFC Bank,NYSE,2:1,accion,1
HIMS,HIMS,Hims & Hers,NYSE,4:1,accion,1
HL,HL,Hecla Mining,NYSE,1:1,accion,1
HMC,HMC,Honda,NYSE,1:1,accion,1
HMY,HMY,Harmony Gold,NYSE,1:1,accion,1
HOG,HOG,Harley-Davidson,NYSE,3:1,accion,1
HON,HON,Honeywell,NYSE,8:1,accion,1
HOOD,HOOD,Robinhood,NASDAQ,29:1,accion,1
HPQ,HPQ,HP,NYSE,1:1,accion,1
HSBC,HSBC,HSBC,NYSE,2:1,accion,1
HSY,HSY,Hershey,NYSE,21:1,accion,1
HUT,HUT,Hut 8,NASDAQ,5:1,accion,1
HWM,HWM,Howmet Aerospace,NYSE,1:1,accion,1
IBB,IBB,iShares Nasdaq Biotech,NASDAQ,27:1,etf,1
IBIT,IBIT,iShares Bitcoin Trust,NASDAQ,10:1,etf,1
IBM,IBM,IBM,NYSE,15:1,accion,1
IBN,IBN,ICICI Bank,NYSE,1:1,accion,1
ICLN,ICLN,iShares Global Clean Energy,NASDAQ,5:1,etf,1
IEMG,IEMG,iShares Core MSCI EM,NYSE,12:1,etf,1
IEUR,IEUR,iShares Core MSCI Europe,NYSE Arca,11:1,etf,1
IFF,IFF,Intl Flavors & Fragrances,NYSE,12:1,accion,1
IJH,IJH,iShares Core S&P Mid-Cap,NYSE Arca,12:1,etf,1
ILF,ILF,iShares Latin America 40,NYSE,6:1,etf,1
INFY,INFY,Infosys,NASDAQ,1:1,accion,1
ING,ING,ING Groep,NYSE,3:1,accion,1
INTC,INTC,Intel,NASDAQ,5:1,accion,1
IP,IP,International Paper,NYSE,4:1,accion,1
IREN,IREN,IREN,NASDAQ,12:1,accion,1
ISRG,ISRG,Intuitive Surgical,NASDAQ,90:1,accion,1
